설치장소명	설치장소상세	설치시도명	설치시군구명	설치시설구분	서비스제공사명	와이파이SSID	설치년월	소재지도로명주소	소재지지번주소	관리기관명	관리기관전화번호	위도	경도	데이터기준일자	제공기관코드	제공기관명
용왕산 유아숲체험원	서울특별시 양천구 목동중앙본로18길 82	서울특별시	양천구	편의시설	서울특별시 양천구청	Public WiFi@yangcheon	Oct-19	서울특별시 양천구 목동중앙본로18길 82		서울특별시 양천구청	02-2620-3252	37.54003259	126.8731407	2020-04-30	3140000	서울특별시 양천구
계남 유아숲체험원	서울특별시 양천구 신정3동 621	서울특별시	양천구	편의시설	서울특별시 양천구청	Public WiFi@yangcheon	Oct-19	서울특별시 양천구 중앙로 153		서울특별시 양천구청	02-2620-3252	37.51052262	126.8570483	2020-04-30	3140000	서울특별시 양천구
지양산 해맞이마을	서울특별시 양천구 신월7동 331-5	서울특별시	양천구	편의시설	서울특별시 양천구청	Public WiFi@yangcheon	Oct-19	서울특별시 양천구 지양로7길 28-29	서울특별시 양천구 신월동 331-5	서울특별시 양천구청	02-2620-3252	37.52136324	126.8296838	2020-04-30	3140000	서울특별시 양천구
안양천	서울특별시 양천구 안양천로 788	서울특별시	양천구	편의시설	서울특별시 양천구청	Public WiFi@yangcheon	Oct-19	서울특별시 양천구 안양천로 788		서울특별시 양천구청	02-2620-3252	37.51622547	126.8774386	2020-04-30	3140000	서울특별시 양천구
안양천	서울특별시 양천구 신정동 871-2	서울특별시	양천구	편의시설	서울특별시 양천구청	Public WiFi@yangcheon	Oct-19	서울특별시 양천구 안양천로 812	서울특별시 양천구 신정동 871-2	서울특별시 양천구청	02-2620-3252	37.51837732	126.8776885	2020-04-30	3140000	서울특별시 양천구
안양천	서울특별시 양천구 신정동 871-2	서울특별시	양천구	편의시설	서울특별시 양천구청	Public WiFi@yangcheon	Oct-19	서울특별시 양천구 안양천로 812	서울특별시 양천구 신정동 871-2	서울특별시 양천구청	02-2620-3252	37.51837732	126.8776885	2020-04-30	3140000	서울특별시 양천구
안양천	서울특별시 양천구 안양천로 1026	서울특별시	양천구	편의시설	서울특별시 양천구청	Public WiFi@yangcheon	Oct-19	서울특별시 양천구 안양천로 1026		서울특별시 양천구청	02-2620-3252	37.53320362	126.8880007	2020-04-30	3140000	서울특별시 양천구
안양천	서울특별시 양천구 안양천로 1026	서울특별시	양천구	편의시설	서울특별시 양천구청	Public WiFi@yangcheon	Oct-19	서울특별시 양천구 안양천로 1026		서울특별시 양천구청	02-2620-3252	37.53320362	126.8880007	2020-04-30	3140000	서울특별시 양천구
안양천	서울특별시 양천구 안양천로 1026	서울특별시	양천구	편의시설	서울특별시 양천구청	Public WiFi@yangcheon	Oct-19	서울특별시 양천구 안양천로 1026		서울특별시 양천구청	02-2620-3252	37.53320362	126.8880007	2020-04-30	3140000	서울특별시 양천구
안양천	서울특별시 양천구 안양천로 1026	서울특별시	양천구	편의시설	서울특별시 양천구청	Public WiFi@yangcheon	Oct-19	서울특별시 양천구 안양천로 1026		서울특별시 양천구청	02-2620-3252	37.53320362	126.8880007	2020-04-30	3140000	서울특별시 양천구
15-160	서울특별시 양천구 목동 810-1	서울특별시	양천구	교통시설	서울특별시 양천구청	Public WiFi@yangcheon	Oct-19	서울특별시 양천구 목동로 210	서울특별시 양천구 목동 810-1	서울특별시 양천구청	02-2620-3252	37.5273837	126.8644465	2020-04-30	3140000	서울특별시 양천구
15-167	서울특별시 양천구 목동 406-189	서울특별시	양천구	교통시설	서울특별시 양천구청	Public WiFi@yangcheon	Oct-19	서울특별시 양천구 오목로 325	서울특별시 양천구 목동 406-189	서울특별시 양천구청	02-2620-3252	37.52510894	126.8736275	2020-04-30	3140000	서울특별시 양천구
15-285	서울특별시 양천구 오목로 227	서울특별시	양천구	교통시설	서울특별시 양천구청	Public WiFi@yangcheon	Oct-19	서울특별시 양천구 오목로 227		서울특별시 양천구청	02-2620-3252	37.52607345	126.8627158	2020-04-30	3140000	서울특별시 양천구
회천4동주민센터	민원실	경기도	양주시	관공서	LGU+	lguplus100	Jan-18	경기도 양주시 옥정로 397-7		양주시청	031-8082-5371	37.83724094	127.0901686	2019-11-07	5590000	경기도 양주시
회천3동주민센터	민원실	경기도	양주시	관공서	LGU+	lguplus100	Jan-18	경기도 양주시 회정로 143	경기도 양주시 덕정동 206-6	양주시청	031-8082-5371	37.8378283	127.0689255	2019-11-07	5590000	경기도 양주시
회천2동주민센터	민원실	경기도	양주시	관공서	LGU+	lguplus100	Jan-18	경기도 양주시 평화로1475번길 39	경기도 양주시 덕계동 467-8	양주시청	031-8082-5371	37.82166163	127.0467626	2019-11-07	5590000	경기도 양주시
회천1동주민센터	민원실	경기도	양주시	관공서	LGU+	lguplus100	Jan-18	경기도 양주시 덕정길 67	경기도 양주시 덕정동 140-1	양주시청	031-8082-5371	37.84417261	127.0661365	2019-11-07	5590000	경기도 양주시
양주2동주민센터	민원실	경기도	양주시	관공서	LGU+	lguplus100	Jan-18	경기도 양주시 고읍로 77	경기도 양주시 만송동 695	양주시청	031-8082-5371	37.79689598	127.0803459	2019-11-07	5590000	경기도 양주시
양주1동주민센터	민원실	경기도	양주시	관공서	LGU+	lguplus100	Jan-18	경기도 양주시 외미로64번길 45	경기도 양주시 남방동 119-1	양주시청	031-8082-5371	37.77336037	127.0440716	2019-11-07	5590000	경기도 양주시
장흥면사무소	민원실	경기도	양주시	관공서	LGU+	lguplus100	Jan-18	경기도 양주시 장흥면 권율로 7	경기도 양주시 장흥면 일영리 137-2	양주시청	031-8082-5371	37.71788305	126.941067	2019-11-07	5590000	경기도 양주시
광적면사무소	민원실	경기도	양주시	관공서	LGU+	lguplus100	Jan-18	경기도 양주시 광적면 가래비길 93	경기도 양주시 광적면 가납리 848-2	양주시청	031-8082-5371	37.82459248	126.9836304	2019-11-07	5590000	경기도 양주시
남면사무소	민원실	경기도	양주시	관공서	LGU+	lguplus100	Jan-18	경기도 양주시 남면 개나리17길 6	경기도 양주시 남면 신산리 257-2	양주시청	031-8082-5371	37.89812691	126.9767242	2019-11-07	5590000	경기도 양주시
감포읍사무소	민원실	경상북도	경주시	관공서	경상북도 경주시청	Public WiFi	Oct-14	경상북도 경주시 감포읍 감포로8길 14-8	경상북도 경주시 감포읍 감포리 56-1	경상북도 경주시청	054-779-6203	35.80713464	129.5012753	2019-09-21	5050000	경상북도 경주시
안강읍사무소	민원실	경상북도	경주시	관공서	경상북도 경주시청	Public WiFi	Oct-14	경상북도 경주시 안강읍 비화원로 47	경상북도 경주시 안강읍 안강리 346-7	경상북도 경주시청	054-779-6203	35.99015242	129.2270217	2019-09-21	5050000	경상북도 경주시
해누리타운	서울특별시 양천구 목동동로 81 (신정동)	서울특별시	양천구	관공서	서울특별시 양천구청	Public WiFi@yangcheon	Oct-18	서울특별시 양천구 목동동로 81 (신정동)		서울특별시 양천구청	02-2620-3252	37.5159763	126.8638564	2020-04-30	3140000	서울특별시 양천구
해누리타운	서울특별시 양천구 목동동로 81 (신정동)	서울특별시	양천구	관공서	서울특별시 양천구청	Public WiFi@yangcheon	Oct-18	서울특별시 양천구 목동동로 81 (신정동)		서울특별시 양천구청	02-2620-3252	37.5159763	126.8638564	2020-04-30	3140000	서울특별시 양천구
신월4동 먹자골목	서울특별시 양천구 신월동 640	서울특별시	양천구	기타	서울특별시 양천구청	Public WiFi@yangcheon	Oct-19	서울특별시 양천구 오목로4길 21		서울특별시 양천구청	02-2620-3252	37.52107752	126.8419242	2020-04-30	3140000	서울특별시 양천구
신월4동 먹자골목	서울특별시 양천구 신월동 636	서울특별시	양천구	기타	서울특별시 양천구청	Public WiFi@yangcheon	Oct-19	서울특별시 양천구 신월로15길 16	서울특별시 양천구 신월동 636	서울특별시 양천구청	02-2620-3252	37.51982307	126.8417323	2020-04-30	3140000	서울특별시 양천구
신정네거리역	서울특별시 양천구 신정동 1145	서울특별시	양천구	기타	서울특별시 양천구청	Public WiFi@yangcheon	Oct-19	서울특별시 양천구 중앙로34길 19	서울특별시 양천구 신정동 1145	서울특별시 양천구청	02-2620-3252	37.51984931	126.8537002	2020-04-30	3140000	서울특별시 양천구
용왕산근린공원	서울특별시 양천구 용왕정길 30	서울특별시	양천구	편의시설	서울특별시 양천구청	Public WiFi@yangcheon	Oct-19	서울특별시 양천구 용왕정길 30		서울특별시 양천구청	02-2620-3252	37.54343914	126.8772809	2020-04-30	3140000	서울특별시 양천구
신월근린공원	서울특별시 양천구 신월로 99-1	서울특별시	양천구	편의시설	서울특별시 양천구청	Public WiFi@yangcheon	Oct-19	서울특별시 양천구 신월로 99-1		서울특별시 양천구청	02-2620-3252	37.51754454	126.8332941	2020-04-30	3140000	서울특별시 양천구
독서근린공원	서울특별시 양천구 지양로 37	서울특별시	양천구	편의시설	서울특별시 양천구청	Public WiFi@yangcheon	Oct-19	서울특별시 양천구 지양로 37		서울특별시 양천구청	02-2620-3252	37.51907588	126.8356073	2020-04-30	3140000	서울특별시 양천구
한울근린공원	서울특별시 양천구 지양로7길 27-5	서울특별시	양천구	편의시설	서울특별시 양천구청	Public WiFi@yangcheon	Oct-19	서울특별시 양천구 지양로7길 27-5		서울특별시 양천구청	02-2620-3252	37.51986048	126.8322799	2020-04-30	3140000	서울특별시 양천구
양지근린공원	서울특별시 양천구 지양로11길 16-16	서울특별시	양천구	편의시설	서울특별시 양천구청	Public WiFi@yangcheon	Oct-19	서울특별시 양천구 지양로11길 16-16		서울특별시 양천구청	02-2620-3252	37.52182611	126.8307642	2020-04-30	3140000	서울특별시 양천구
송죽어린이공원	서울특별시 양천구 신월5동 65	서울특별시	양천구	편의시설	서울특별시 양천구청	Public WiFi@yangcheon	Oct-19	서울특별시 양천구 월정로38길 11	서울특별시 양천구 신월동 65	서울특별시 양천구청	02-2620-3252	37.53929873	126.8335942	2020-04-30	3140000	서울특별시 양천구
금실어린이공원	서울특별시 양천구 지양로 21	서울특별시	양천구	편의시설	서울특별시 양천구청	Public WiFi@yangcheon	Oct-19	서울특별시 양천구 지양로 21		서울특별시 양천구청	02-2620-3252	37.51846179	126.8371878	2020-04-30	3140000	서울특별시 양천구
강릉시 교2동 7-1(생활체육센터)	실외	강원도	강릉시	지역문화시설	KT	Smart Gangneung	Nov-16	강원도 강릉시 종합운동장길 69 (교동)	강원도 강릉시 교동 7-1	강원도 강릉시청	033-640-5327	37.77370501	128.8978333	2020-04-29	4200000	강원도 강릉시
시내공원(응암어린이)	응암동 85-41(공원CCTV)	서울특별시	은평구	기타	SK	Public WiFi@Seoul	Nov-16	서울특별시 은평구 은평로11길 10	서울특별시 은평구 응암동 85-41(공원CCTV)	서울특별시청	02-2133-2871	37.601651	126.923598	2020-07-01	3110000	서울특별시 은평구
녹번마을마당	녹번동 104-7	서울특별시	은평구	기타	SK	Public WiFi@Seoul	Nov-16	서울특별시 은평구 녹번로3가길 1	서울특별시 은평구 녹번동 104-7	서울특별시청	02-2133-2871	37.606105	126.927625	2020-07-01	3110000	서울특별시 은평구
관동공원	불광동 270-11(방범CCTV)	서울특별시	은평구	기타	SK	Public WiFi@Seoul	Nov-16	서울특별시 은평구 통일로68가길 20	서울특별시 은평구 불광동 270-11(방범CCTV)	서울특별시청	02-2133-2871	37.613598	126.929874	2020-07-01	3110000	서울특별시 은평구
한국뇌병변장애인인권협회	중곡2동 119-2	서울특별시	광진구	서민/복지시설	LGU+			서울특별시 광진구 천호대로119길 6		서울시	02-2133-2871	37.5551859	127.0861452	2020-10-23	3040000	서울특별시 광진구
예천군여성회관	양궁장 1층 사무실 안	경상북도	예천군	관공서	KT	Public WiFi Free	Jun-15	경상북도 예천군 예천읍 군청길 24	경상북도 예천군 예천읍 서본리 50-1	경상북도 예천군청	054-650-6300	36.656784	128.452427	2020-09-20	5230000	경상북도 예천군
예천군여성회관	양궁장 1층 실내양궁장 안	경상북도	예천군	관공서	KT	Public WiFi Free	Jun-15	경상북도 예천군 예천읍 군청길 24	경상북도 예천군 예천읍 서본리 50-1	경상북도 예천군청	054-650-6300	36.656784	128.452427	2020-09-20	5230000	경상북도 예천군
예천군여성회관	양궁장 1층 본부석 안	경상북도	예천군	관공서	KT	Public WiFi Free	Jun-15	경상북도 예천군 예천읍 군청길 24	경상북도 예천군 예천읍 서본리 50-1	경상북도 예천군청	054-650-6300	36.656784	128.452427	2020-09-20	5230000	경상북도 예천군
예천군여성회관	양궁장 1층 관람석 입구	경상북도	예천군	관공서	KT	Public WiFi Free	Jun-15	경상북도 예천군 예천읍 군청길 24	경상북도 예천군 예천읍 서본리 50-1	경상북도 예천군청	054-650-6300	36.656784	128.452427	2020-09-20	5230000	경상북도 예천군
예천군여성회관	문화회관 1층 로비 좌측	경상북도	예천군	관공서	KT	Public WiFi Free	Jun-15	경상북도 예천군 예천읍 군청길 24	경상북도 예천군 예천읍 서본리 50-1	경상북도 예천군청	054-650-6300	36.656784	128.452427	2020-09-20	5230000	경상북도 예천군
예천군여성회관	문화회관 1층 로비 우측	경상북도	예천군	관공서	KT	Public WiFi Free	Jun-15	경상북도 예천군 예천읍 군청길 24	경상북도 예천군 예천읍 서본리 50-1	경상북도 예천군청	054-650-6300	36.656784	128.452427	2020-09-20	5230000	경상북도 예천군
예천군여성회관	문화회관 1층 공연장 내	경상북도	예천군	관공서	KT	Public WiFi Free	Jun-15	경상북도 예천군 예천읍 군청길 24	경상북도 예천군 예천읍 서본리 50-1	경상북도 예천군청	054-650-6300	36.656784	128.452427	2020-09-20	5230000	경상북도 예천군
예천군여성회관	문화회관 2층 좌측 복도	경상북도	예천군	관공서	KT	Public WiFi Free	Jun-15	경상북도 예천군 예천읍 군청길 24	경상북도 예천군 예천읍 서본리 50-1	경상북도 예천군청	054-650-6300	36.656784	128.452427	2020-09-20	5230000	경상북도 예천군
예천군여성회관	문화회관 2층 중앙복도	경상북도	예천군	관공서	KT	Public WiFi Free	Jun-15	경상북도 예천군 예천읍 군청길 24	경상북도 예천군 예천읍 서본리 50-1	경상북도 예천군청	054-650-6300	36.656784	128.452427	2020-09-20	5230000	경상북도 예천군
예천군여성회관	문화회관 2층 사무실 안	경상북도	예천군	관공서	KT	Public WiFi Free	Jun-15	경상북도 예천군 예천읍 군청길 24	경상북도 예천군 예천읍 서본리 50-1	경상북도 예천군청	054-650-6300	36.656784	128.452427	2020-09-20	5230000	경상북도 예천군
예천군여성회관	문화회관 2층 회의실 안	경상북도	예천군	관공서	KT	Public WiFi Free	Jun-15	경상북도 예천군 예천읍 군청길 24	경상북도 예천군 예천읍 서본리 50-1	경상북도 예천군청	054-650-6300	36.656784	128.452427	2020-09-20	5230000	경상북도 예천군
예천버스터미널	1층 승강장 창문 옆	경상북도	예천군	관공서	KT	Public WiFi Free	Jun-15	경상북도 예천군 예천읍 충효로 165	경상북도 예천군 예천읍 서본리 50-1	경상북도 예천군청	054-650-6300	36.648311	128.4432367	2020-09-20	5230000	경상북도 예천군
예천버스터미널	1층 대합실 안	경상북도	예천군	관공서	KT	Public WiFi Free	Jun-15	경상북도 예천군 예천읍 충효로 165	경상북도 예천군 예천읍 서본리 50-1	경상북도 예천군청	054-650-6300	36.648311	128.4432367	2020-09-20	5230000	경상북도 예천군
용문보건지소	1층 접수실 입구	경상북도	예천군	관공서	KT	Public WiFi Free	Jun-15	경상북도 예천군 용문면 용문경천로 1209-7	경상북도 예천군 용문면 상금곡리 548-1	경상북도 예천군청	054-650-6300	36.688887	128.409702	2020-09-20	5230000	경상북도 예천군
용문보건지소	1층 치과진료실 앞	경상북도	예천군	관공서	KT	Public WiFi Free	Jun-15	경상북도 예천군 용문면 용문경천로 1209-7	경상북도 예천군 용문면 상금곡리 548-1	경상북도 예천군청	054-650-6300	36.688887	128.409702	2020-09-20	5230000	경상북도 예천군
효자.은풍통합보건지소	1층 진료실 앞	경상북도	예천군	관공서	KT	Public WiFi Free	Jun-15	경상북도 예천군 은풍면 은풍로 100-7	경상북도 예천군 은풍면 우곡리 635-7	경상북도 예천군청	054-650-6300	36.745594	128.443778	2020-09-20	5230000	경상북도 예천군
효자.은풍통합보건지소	1층 한방진료실 앞	경상북도	예천군	관공서	KT	Public WiFi Free	Jun-15	경상북도 예천군 은풍면 은풍로 100-7	경상북도 예천군 은풍면 우곡리 635-7	경상북도 예천군청	054-650-6300	36.745594	128.443778	2020-09-20	5230000	경상북도 예천군
감천보건지소	1층 로비	경상북도	예천군	관공서	KT	Public WiFi Free	Jun-15	경상북도 예천군 감천면 포리2길 26	경상북도 예천군 감천면 포리 350-1	경상북도 예천군청	054-650-6300	36.722987	128.528673	2020-09-20	5230000	경상북도 예천군
감천보건지소	1층 건강증진실 앞	경상북도	예천군	관공서	KT	Public WiFi Free	Jun-15	경상북도 예천군 감천면 포리2길 26	경상북도 예천군 감천면 포리 350-1	경상북도 예천군청	054-650-6300	36.722987	128.528673	2020-09-20	5230000	경상북도 예천군
보문보건지소	1층 진료실 앞	경상북도	예천군	관공서	KT	Public WiFi Free	Jun-15	경상북도 예천군 보문면 미호길 110	경상북도 예천군 보문면 미호리 152-2	경상북도 예천군청	054-650-6300	36.664757	128.508898	2020-09-20	5230000	경상북도 예천군
보문보건지소	1층 로비 앞	경상북도	예천군	관공서	KT	Public WiFi Free	Jun-15	경상북도 예천군 보문면 미호길 110	경상북도 예천군 보문면 미호리 152-2	경상북도 예천군청	054-650-6300	36.664757	128.508898	2020-09-20	5230000	경상북도 예천군
호명보건지소	1층 로비 앞	경상북도	예천군	관공서	KT	Public WiFi Free	Jun-15	경상북도 예천군 호명면 오천길 23	경상북도 예천군 호명면 오천리 201-5	경상북도 예천군청	054-650-6300	36.593855	128.470376	2020-09-20	5230000	경상북도 예천군
호명보건지소	1층 건강증진실 안	경상북도	예천군	관공서	KT	Public WiFi Free	Jun-15	경상북도 예천군 호명면 오천길 23	경상북도 예천군 호명면 오천리 201-5	경상북도 예천군청	054-650-6300	36.593855	128.470376	2020-09-20	5230000	경상북도 예천군
유천보건지소	1층 로비 앞	경상북도	예천군	관공서	KT	Public WiFi Free	Jun-15	경상북도 예천군 유천면 예성로 685	경상북도 예천군 유천면 가리 320-1	경상북도 예천군청	054-650-6300	36.635129	128.388583	2020-09-20	5230000	경상북도 예천군
유천보건지소	1층 건강증진실 안	경상북도	예천군	관공서	KT	Public WiFi Free	Jun-15	경상북도 예천군 유천면 예성로 685	경상북도 예천군 유천면 가리 320-1	경상북도 예천군청	054-650-6300	36.635129	128.388583	2020-09-20	5230000	경상북도 예천군
유궁보건지소	1층 복도	경상북도	예천군	관공서	KT	Public WiFi Free	Jun-15	경상북도 예천군 용궁면 용개로 12	경상북도 예천군 용궁면 읍부리 124-3	경상북도 예천군청	054-650-6300	36.606752	128.282482	2020-09-20	5230000	경상북도 예천군
코모도호텔1	옥상	경상북도	경주시	서민·복지시설	경상북도 경주시청	U-Gyeongju	Jul-13	경상북도 경주시 보문로 422	경상북도 경주시 신평동 410-2	경상북도 경주시청	054-779-6192	35.84445339	129.2847672	2019-09-21	5050000	경상북도 경주시
코모도호텔2	옥상	경상북도	경주시	서민·복지시설	경상북도 경주시청	U-Gyeongju	Jul-13	경상북도 경주시 보문로 422	경상북도 경주시 신평동 410-2	경상북도 경주시청	054-779-6192	35.84445339	129.2847672	2019-09-21	5050000	경상북도 경주시
보문야외공연장	공연장 뒤 건물 외벽	경상북도	경주시	서민·복지시설	경상북도 경주시청	U-Gyeongju	Jul-13	경상북도 경주시 보문로 424-33	경상북도 경주시 신평동 375	경상북도 경주시청	054-779-6192	35.84353295	129.2865566	2019-09-21	5050000	경상북도 경주시
육부촌	벽면 처마밑	경상북도	경주시	서민·복지시설	경상북도 경주시청	U-Gyeongju	Jul-13	경상북도 경주시 보문로 446	경상북도 경주시 신평동 375-7	경상북도 경주시청	054-779-6192	35.84369978	129.2869689	2019-09-21	5050000	경상북도 경주시
대명리조트1	옥상	경상북도	경주시	서민·복지시설	경상북도 경주시청	U-Gyeongju	Jul-13	경상북도 경주시 보문로 402-12	경상북도 경주시 신평동 400-1	경상북도 경주시청	054-779-6192	35.84691147	129.2816188	2019-09-21	5050000	경상북도 경주시
대명리조트2	옥상	경상북도	경주시	서민·복지시설	경상북도 경주시청	U-Gyeongju	Jul-13	경상북도 경주시 보문로 402-12	경상북도 경주시 신평동 400-1	경상북도 경주시청	054-779-6192	35.84691147	129.2816188	2019-09-21	5050000	경상북도 경주시
산책로화장실	벽면 처마밑	경상북도	경주시	서민·복지시설	경상북도 경주시청	U-Gyeongju	Jul-13		경상북도 경주시 신평동 611-1	경상북도 경주시청	054-779-6192	35.84816891	129.2794915	2019-09-21	5050000	경상북도 경주시
현대호텔1	옥상	경상북도	경주시	서민·복지시설	경상북도 경주시청	U-Gyeongju	Jul-13	경상북도 경주시 보문로 338	경상북도 경주시 신평동 477-2	경상북도 경주시청	054-779-6192	35.85032041	129.2771903	2019-09-21	5050000	경상북도 경주시
현대호텔2	옥상	경상북도	경주시	서민·복지시설	경상북도 경주시청	U-Gyeongju	Jul-13	경상북도 경주시 보문로 338	경상북도 경주시 신평동 477-2	경상북도 경주시청	054-779-6192	35.85032041	129.2771903	2019-09-21	5050000	경상북도 경주시
경주시립도서관	벽면 처마밑	경상북도	경주시	서민·복지시설	경상북도 경주시청	U-Gyeongju	Jul-13	경상북도 경주시 원화로 431-12	경상북도 경주시 황성동 370	경상북도 경주시청	054-779-6192	35.85972928	129.2191713	2019-09-21	5050000	경상북도 경주시
김유신장군동상	동상 옆 가로등	경상북도	경주시	서민·복지시설	경상북도 경주시청	U-Gyeongju	Jul-13	경상북도 경주시 알천북로 115	경상북도 경주시 황성동 산 1-1	경상북도 경주시청	054-779-6192	35.8599824	129.2119786	2019-09-21	5050000	경상북도 경주시
경주시 청소년 수련관	옥상	경상북도	경주시	서민·복지시설	경상북도 경주시청	U-Gyeongju	Jul-13	경상북도 경주시 알천북로 131	경상북도 경주시 황성동 1053-231	경상북도 경주시청	054-779-6192	35.85511199	129.2158899	2019-09-21	5050000	경상북도 경주시
경주축구공원 2구장	도로변 조명타워	경상북도	경주시	서민·복지시설	경상북도 경주시청	U-Gyeongju	Jul-13		경상북도 경주시 황성동 1053-177	경상북도 경주시청	054-779-6192	35.85662525	129.2124146	2019-09-21	5050000	경상북도 경주시
경주축구공원 3구장	도로변 조명타워	경상북도	경주시	서민·복지시설	경상북도 경주시청	U-Gyeongju	Jul-13		경상북도 경주시 황성동 1053-80	경상북도 경주시청	054-779-6192	35.85761491	129.2108022	2019-09-21	5050000	경상북도 경주시
경주실내체육관 1	입구 뒤쪽 가로등	경상북도	경주시	서민·복지시설	경상북도 경주시청	U-Gyeongju	Jul-13	경상북도 경주시 용담로 79-48	경상북도 경주시 황성동 1022-1	경상북도 경주시청	054-779-6192	35.86064257	129.2090768	2019-09-21	5050000	경상북도 경주시
경주실내체육관 2	입구 우측 가로등	경상북도	경주시	서민·복지시설	경상북도 경주시청	U-Gyeongju	Jul-13	경상북도 경주시 용담로 79-48	경상북도 경주시 황성동 1022-1	경상북도 경주시청	054-779-6192	35.86064257	129.2090768	2019-09-21	5050000	경상북도 경주시
경주시민운동장 1	입구 좌측 가로등	경상북도	경주시	서민·복지시설	경상북도 경주시청	U-Gyeongju	Jan-13	경상북도 경주시 용담로 79-41	경상북도 경주시 황성동 산 1-1	경상북도 경주시청	054-779-6192	35.8599824	129.2119786	2019-09-21	5050000	경상북도 경주시
경주시민운동장 2	입구 우측 가로등	경상북도	경주시	서민·복지시설	경상북도 경주시청	U-Gyeongju	Jan-13	경상북도 경주시 용담로 79-41	경상북도 경주시 황성동 산 1-1	경상북도 경주시청	054-779-6192	35.8599824	129.2119786	2019-09-21	5050000	경상북도 경주시
경주 풋살구장	도로변 조명타워	경상북도	경주시	서민·복지시설	경상북도 경주시청	U-Gyeongju	Jan-13		경상북도 경주시 황성동 1053-360	경상북도 경주시청	054-779-6192	35.85918608	129.2078257	2019-09-21	5050000	경상북도 경주시
축구공원 6구장	도로변 조명타워	경상북도	경주시	서민·복지시설	경상북도 경주시청	U-Gyeongju	Jan-13		경상북도 경주시 황성동 1047-5	경상북도 경주시청	054-779-6192	35.86035769	129.2069356	2019-09-21	5050000	경상북도 경주시
경주예술의전당	입구 주차장 가로등	경상북도	경주시	서민·복지시설	경상북도 경주시청	U-Gyeongju	Jan-13	경상북도 경주시 알천북로 1	경상북도 경주시 황성동 988	경상북도 경주시청	054-779-6192	35.862359	129.2059917	2019-09-21	5050000	경상북도 경주시
보건소	보건소내	전라북도	전라북도 진안군	관공서	KT	Public WiFi Free	Dec-14	전라북도 진안군 진안읍 진무로 1189	전라북도 진안군 진안읍 군상리 90-15	전라북도 진안군청	063-430-2600	35.79731025	127.434776	2019-09-16	4730000	전라북도 진안군
하이마트대연	매장	부산광역시	남구	기타	LG U+	Public Wifi		부산광역시 남구 수영로 184	부산광역시 남구 대연동 1764-1	부산광역시 남구청	1899-4876	35.1345871	129.0867443	2020-09-23	3310000	부산광역시 남구
부산광역시 강서구	민원실	부산광역시	강서구	관공서	LGU+	Public WiFi	Oct-14	부산광역시 강서구 낙동북로 477	부산광역시 강서구 대저1동 2300	부산광역시 강서구청	051-970-4174	35.21220134	128.9805838	2020-09-23	3360000	부산광역시 강서구
지사민원센터	민원실	부산광역시	강서구	관공서	LGU+	Public WiFi	Oct-14	부산광역시 강서구 과학산단2로 20번길 5	부산광역시 강서구 지사동 1180	부산광역시 강서구청	051-970-4174	35.1509286	128.8312942	2020-09-23	3360000	부산광역시 강서구
강동보건지소	민원실	부산광역시	강서구	관공서	LGU+	Public WiFi	Oct-14	부산광역시 강서구 낙동북로 102번길 76	부산광역시 강서구 강동동 60-3	부산광역시 강서구청	051-970-4174	35.21620512	128.9376702	2020-09-23	3360000	부산광역시 강서구
강서구 보건소	민원실	부산광역시	강서구	관공서	LGU+	Public WiFi	Oct-14	부산광역시 강서구 공항로811번길 10(대저2동)	부산광역시 강서구 대저2동 1932-1	부산광역시 강서구청	051-970-4174	35.18023515	128.9572977	2020-09-23	3360000	부산광역시 강서구
힐튼호텔2	옥상	경상북도	경주시	서민·복지시설	경상북도 경주시청	U-Gyeongju	Jul-13	경상북도 경주시 보문로 484-7	경상북도 경주시 신평동 370	경상북도 경주시청	054-779-6192	35.83954221	129.2863814	2019-09-21	5050000	경상북도 경주시
고성군 노인복지관	층간 복도	강원도	고성군	편의시설	"강원도 고성군청, LGU+"	Public WiFi Free	Oct-14	강원도 고성군 간성읍 간성로67번길 13	강원도 고성군 간성읍 하리 37-2	강원도 고성군청	033-680-3297	38.3782889	128.4676685	2019-06-03	4340000	강원도 고성군
여성회관	층간 복도	강원도	고성군	관공서	"강원도 고성군청, LGU+"	Public WiFi Free	Oct-14	강원도 고성군 간성읍 간성로 97	강원도 고성군 간성읍 상리 210-1	강원도 고성군청	033-680-3297	38.3802958	128.4639353	2019-06-03	4340000	강원도 고성군
현내청소년문화의집	층간 복도	강원도	고성군	지역문화시설	"강원도 고성군청, LGU+"	Public WiFi Free	Oct-14	강원도 고성군 현내면 대진2길 12	강원도 고성군 현내면 대진리 189-7	강원도 고성군청	033-680-3297	38.49369738	128.4269572	2019-06-03	4340000	강원도 고성군
거진시장	상인회사무실 입구 외 3개소	강원도	고성군	기타	"강원도 고성군청, LGU+"	Public WiFi Free	Oct-14	강원도 고성군 거진읍 거진시장길	강원도 고성군 거진읍 거진리 272	강원도 고성군청	033-680-3297	38.44748081	128.4543893	2019-06-03	4340000	강원도 고성군
송지호오토캠핑장	"관리사무소, 화장실"	강원도	고성군	관광	"강원도 고성군청, KT"	"Public WiFi Free(2.4GHz, 5GHz)"	Dec-15	강원도 고성군 죽왕면 동해대로 6090	강원도 고성군 죽왕면 공현진리 153-18	강원도 고성군청	033-680-3297	38.3440485	128.511709	2019-06-03	4340000	강원도 고성군
